count,pp,Freq
1,0100866060,4
2,01T2426561,3
3,01T2426623,5
4,02L1223350,6
5,02L1223431,3
6,02L1223458,7
7,02L1223610,6
8,02L1223635,3
9,02L1223750,3
10,02L1223756,3
11,02L1223764,6
12,02L1223807,3
13,02L1223819,3
14,02L1223838,4
15,02L1223889,5
16,02L1A16173,4
17,02L1A16278,3
18,02L1A16307,3
19,02L1A16459,3
20,03N1000139,7
21,03N1000181,10
22,03N1000218,4
23,03N1000227,6
24,03N1000268,11
25,03N1000398,5
26,03N1000649,6
27,03N1000651,6
28,03N1000652,5
29,03N1000653,10
30,03N1000654,9
31,03N1000655,5
32,03N1000738,10
33,03N1000740,5
34,03N1000741,5
35,03N1000813,10
36,03N1000814,8
37,03N1000815,7
38,03N1000816,10
39,03N1000817,10
40,03N1000818,5
41,03N1002267,14
42,03N1004198,5
43,03N1004874,10
44,03N1004944,7
45,03N1005203,13
46,03N1005285,10
47,03N1005287,7
48,03N1005313,11
49,03N1005370,11
50,03N1005432,7
51,03N1005437,7
52,03N1005453,10
53,03N1005454,10
54,03N1005463,7
55,03N1005495,8
56,03N1005496,11
57,03N1005509,10
58,03N1005512,11
59,03N1005519,10
60,03N1005529,10
61,03N1005533,14
62,03N1005540,11
63,03N1005556,10
64,03N1005568,7
65,03N1005572,8
66,03N1005573,8
67,03N1005589,9
68,03N1005592,9
69,03N1005595,10
70,03N1005596,5
71,03N1005598,5
72,03N1005600,12
73,03N1005606,8
74,03N1005614,10
75,03N1005624,8
76,03N1005625,11
77,03N1005628,12
78,03N1005630,10
79,03N1005631,6
80,03N1005635,13
81,03N1005646,10
82,03N1005648,10
83,03N1005649,9
84,03N1005650,7
85,03N1005655,11
86,03N1005656,12
87,03N1005660,10
88,03N1005668,10
89,03N1005669,10
90,03N1005670,8
91,03N1005671,11
92,03N1005675,12
93,03N1005678,11
94,03N1005685,10
95,03N1005690,9
96,03N1005691,7
97,03N1005692,10
98,03N1005696,12
99,03N1005699,8
100,03N1005701,9
101,03N1005702,11
102,03N1005704,7
103,03N1005709,10
104,03N1005710,12
105,03N1005715,11
106,03N1005717,10
107,03N1005718,11
108,03N1005720,12
109,03N1005722,6
110,03N1005723,7
111,03N1005724,11
112,03N1005725,7
113,03N1005728,8
